tamper,combined.csv,keyword.csv,classifier.csv
ack:corrupt,246,140,624
options-altchksumopt:corrupt,9829,730,1332
seq:corrupt,15311,569,4813
seq:replace,6322,611,369
options-sackok:replace,136,699,547
dataofs:corrupt,206,250,223
options-altchksum:replace,85,1079,548
window:corrupt,1422,621,427
options-sackok:corrupt,433,501,1194
options-wscale:corrupt,731,136,491
reserved:corrupt,768,394,1071
load:corrupt,802,1119,402
sport:replace,371,1253,35
options-mss:replace,402,1700,1277
options-uto:corrupt,532,738,2485
options-md5header:replace,206,882,270
options-timestamp:corrupt,779,685,460
options-sack:corrupt,205,654,518
load:replace,216,18797,3310
sport:corrupt,255,198,95
flags:corrupt,240,227,301
dport:replace,447,148,202
chksum:corrupt,921,498,614
options-timestamp:replace,1657,263,2479
options-sack:replace,157,1085,692
chksum:replace,303,605,564
options-altchksum:corrupt,600,627,233
options-nop:corrupt,1976,278,1093
options-nop:replace,434,388,528
reserved:replace,191,981,845
flags:replace,292,286,9582
options-mss:corrupt,1562,261,573
dport:corrupt,566,148,388
options-eol:corrupt,1697,1702,615
ack:replace,218,938,539
options-eol:replace,805,7409,393
dataofs:replace,225,957,1195
options-altchksumopt:replace,686,584,633
urgptr:corrupt,276,501,914
urgptr:replace,249,448,264
window:replace,505,898,319
options-md5header:corrupt,740,306,379
options-uto:replace,232,678,707
options-wscale:replace,171,762,397
